id,code_1c,article,name,brand,остаток,категория
36320,00035398,11198,Наколенники защитные с гелевым наполнителем и пластик накладкой STAYER PROFI,STAYER,1.000,На модерацию
36321,00035400,11522,Наколенники защитные с гелевым наполнителем и пластик накладкой ЗУБР ЭКСПЕРТ,ЗУБР,1.000,На модерацию
36329,374842,11513,"Наколенники строительные KRAFTOOL KRAFT BOARD на колесах, 5 колес, лоток для инструмента, до 110кг",KRAFTOOL,1.000,На модерацию
6935,00042222,,Натяжитель цепи ПА,,1.000,Запчасти к инструменту
11185,00022657,34520,"Нивелир оптический KRAFTOOL OL-32 увеличение 32Х, рабочий диапазон 122 м",KRAFTOOL,1.000,Измерительный инструмент
11198,00034326,34917,"Нивелир оптический ЗУБР НОУ-32 увеличение 32Х, раб диапазон 120м Профессионал",ЗУБР,1.000,Измерительный инструмент
11226,00030424,,Отражатель красный Condtrol 1-7-021,,1.000,Измерительный инструмент
41510,00040188,РСВ-161255,Паста для уплотнения резьбовых соединений 250гр FORA,,1.000,"Хозтовары, сад, огород"
41489,00020822,55475-020,"Паста  паяльная канифольно-вазелиновая, 20гр ЗУБР",ЗУБР,1.000,"Хозтовары, сад, огород"
41525,00036144,35938,Паста шлифовальная ЗУБР 21гр,ЗУБР,1.000,"Хозтовары, сад, огород"
